,title,description,price,points,cluster_label,cosine_similarity,price_bin
4079,COS 2014 Pithos Rosso Red (Vittoria),"Radiant and earthy, this blend of Frappato and Nero d'Avola boasts enticing scents suggesting dark-skinned berry, leather, sunbaked earth, sea breeze and a floral note. The creamy, succulent palate doles out juicy black cherry, black raspberry, white pepper and aromatic herb alongside supple tannins and fresh acidity. A saline note wraps up the finish. Drink 2017–2024.",30.0,95,0,0.9996418877075941,20-40
4075,Biondi 2014 Contrada Monte San Nicolò  (Etna),"Fragrant and loaded with finesse, this opens with aromas of wild berry, blue flower, new leather, aromatic herb and a whiff of exotic spice. The structured, elegant palate delivers layers of red cherry, strawberry, flinty mineral, orange zest, star anise and clove framed in firm, polished tannins and bright acidity. It's still young and will develop even more complexity. Drink 2019–2029.",30.0,95,0,0.9996418877075941,20-40
4076,Biondi 2014 Outis Rosso  (Etna),"This gorgeous wine opens with aromas of smoke, baking spice, red berry and flint. The mineral note carries over to the vibrant, silky palate, accenting juicy Morello cherry, white pepper, star anise, Mediterranean herb and tobacco. Polished tannins and fresh acidity provide impeccable balance. Hold for more complexity. Drink 2019–2027.",40.0,95,0,0.9996418877075941,20-40
2279,Rizzi 2009 Boito Riserva  (Barbaresco),"It offers classic Nebbiolo scents of red berry, forest floor, violet, baking spices, leather and Mediterranean herbs. The juicy palate doles out bright red cherry, mint, sage and black pepper alongside firm but velvety tannins and fresh acidity. Drink 2016–2024.",59.0,95,0,0.9996418877075941,above 40
4055,Passopisciaro 2013 Contrada R Nerello Mascalese (Terre Siciliane),"Alluring, ethereal scents of perfumed berry, aromatic herb, fragrant blue flower, new leather, orange zest and exotic spice abound on this radiant wine. The smooth, vibrant palate is loaded with finesse, delivering juicy red cherry, raspberry, cake spice and energizing mineral. Silky, supple tannins and bright acidity provide impeccable balance. It's already extremely tempting but hold for even more complexity. Drink 2018–2025.",60.0,97,0,0.9996418877075941,above 40
321,Bel Colle 2012 Simposio  (Barolo),"Enticing scents of ripe berry, underbrush, grilled herb and eucalyptus mingle together along with an underlying fragrance of rose petal. Elegant and fresh, the impeccably balanced palate delivers tart red cherry, cake spice, white pepper and mineral nuances alongside polished tannins. Drink 2018–2028.",60.0,95,0,0.9996418877075941,above 40
2277,Giacomo Fenocchio 2010 Villero  (Barolo),"Scents of woodland berries, violets, dried rose petals, baking spices and Mediterranean herbs emerge from this wine. Crushed Morello cherry, graphite, red raspberry and white pepper all come seamlessly together on the palate alongside invigorating energy and intensity. It shows fantastic aging potential. Drink 2020–2040.",60.0,95,0,0.9996418877075941,above 40
2276,Aurelio Settimo 2010 Rocche dell'Annunziata  (Barolo),"This structured wine opens with earthy aromas of tilled soil, underbrush, leather, cedar, bright berries and baking spices. The vibrant palate displays classic Nebbiolo flavors of crushed dark cherry, clove, cinnamon, truffle, sage, thyme and licorice alongside brisk acidity and bracing but noble tannins. It will bloom into a beauty. Drink 2020–2040.",65.0,95,0,0.9996418877075941,above 40
1427,Tenuta Argentiera 2008 Argentiera  (Bolgheri Superiore),"Here's a beautifully chocolaty and rich blend of Cabernet Sauvignon, Merlot and Cabernet Franc, with plush layers of sweet cherry, Indian spice, tobacco and espresso. The wine is amazingly rich and long lasting, with silky, supple tannins at the very end. Keep it in your cellar 10 years or more, or drink it now.",75.0,96,0,0.9996418877075941,above 40
2278,Giovanni Rosso 2010 Cerretta  (Barolo),"Aromas of Mediterranean herbs, hay, leather and red berry come together in this structured Barolo. Loaded with energy and intensity, it delivers creamy cherry-berry flavors layered with white pepper, clove, nutmeg and orange zest. It already has depth but needs time to develop complexity. Drink after 2022.",96.0,95,0,0.9996418877075941,above 40
4067,Massolino 2012 Parafada  (Barolo),"95   Massolino 2012 Parafada (Barolo). A textbook Barolo, this opens with scents of mature berry, leather, underbrush, tobacco and an elegant trace of fragrant blue flower. The well-structured palate delivers succulent black cherry, crushed raspberry, cinnamon, licorice, clove and mineral alongside a backbone of firm yet refined tannins. Drink 2020–2030.",96.0,95,0,0.9996418877075941,above 40
1418,Marchesi Antinori 2008 Guado al Tasso  (Bolgheri Superiore),"Here's a “wow” wine on every level, with incredible intensity and supple softness that builds momentum over many long minutes. A sweet cherry note at the core is surrounded by lush layers of tobacco, dark chocolate and spice, which promise to evolve gracefully over years to come.",102.0,98,0,0.9996418877075941,above 40
5774,Il Poggione 2007 Vigna Paganelli Riserva  (Brunello di Montalcino),"Vigna Paganelli shows amazing results with a bright fruit quality that translates into black cherry and blackberry. At the back are sophisticated tones of leather, tobacco and light touches of spice that give the wine depth and elegance. The most interesting aspect, however, is the mouthfeel that shows firm but beautifully ripe tannins that will help the wine age 10 years or more.",115.0,95,0,0.9996418877075941,above 40
4065,Giuseppe Rinaldi 2012 Brunate  (Barolo),"Multifaceted aromas of rose, iris, leather, cranberry, truffle and the barest hint of game lead the nose. The radiant palate offers creamy strawberry, ripe red cherry, orange zest, baking spice, dried herb and tobacco alongside firm but polished tannins. Fresh acidity provides balance while a mineral vein energizes the finish. With its smooth texture, it's already tempting but hold for even more complexity. Drink 2018–2026.",146.0,96,0,0.9996418877075941,above 40
5777,Castello Banfi 2007 Poggio all'Oro Riserva  (Brunello di Montalcino),"Castello Banfi delivers a sophisticated and elegant expression with pretty highlights of dark fruit, cassis, crushed spice and even a dusting of black pepper. This classy riserva delivers dark concentration, polished tannins, balanced acidity and long fruit-driven persistency. Best in 5–10 years.",150.0,95,0,0.9996418877075941,above 40
310,Cavallotto 2010 Vignolo Riserva  (Barolo),"After a few minutes in the glass, this stunning wine opens up to reveal classic Nebbiolo aromas of leather, tilled soil, underbrush, fragrant blue flower and ripe berry. The juicy concentrated palate dishes out layers of succulent black cherry, crushed raspberry, anise and pipe tobacco framed in firm, velvety tannins. Drink 2022–2035.",150.0,97,0,0.9996418877075941,above 40
