,title,description,price,points,cluster_label,cosine_similarity
151,Conde de Velázquez 2012 Condesa Real Premium Blend Red (Aconcagua Valley),"This blend of Cabernet Sauvignon, Syrah and Merlot opens with blackened aromas of charred oak and creosote, but it quickly sheds that oak-heavy character to display toasty flavors of olives, herbs and berry fruits. All together, this is a classic Chilean red blend, with fine tannins and patented lightly herbal, balsamic flavors. Drink through 2020.",29.0,91,0,0.9967532089723447
187,Adega Cooperativa de Borba 2012 Montes Claros Garrafeira Red (Alentejo),"A year in wood and 30 months in bottle before release have allowed this attractive wine to fully develop its solid yet smooth texture. It has concentration, layers of bright black currant fruit and vibrant acidity. Ready to drink.",28.0,90,0,0.9967532089723447
260,Forstreiter 2012 Schiefer Reserve Grüner Veltliner (Kremstal),"A strongly spicy, rich wine, this has great concentration and an intense, dense texture.There is weight with plenty of ripe tropical fruits to contrast pronounced black pepper and bitter almond character. It's still young, so don't drink before 2015. Screwcap.",24.0,92,0,0.9967532089723447
309,Torbreck 2012 RunRig Shiraz-Viognier (Barossa),"RunRig is always complex, and the 2012 doesn't disappoint in that regard, mixing bacony-meaty notes with hints of black olives and ripe plums. The tannins are supremely supple, but the acids are crisp, resulting in a long, mouthwatering finish. Drink now–2030.",225.0,97,0,0.9967532089723447
320,Torbreck 2012 Descendant Shiraz-Viognier (Barossa Valley),"Bacon and tapenade elements merge easily on the nose, followed by a wine that's full bodied and creamy textured on the palate. This is dark and meaty in profile, yet not heavy or cooked, with a long, harmonious finish. Drink now–2030.",125.0,95,0,0.9967532089723447
387,Vinos de Arganza 2012 Século Mencía (Bierzo),"Fresh, focused and tight on the nose, with an undertone of mild oak and earth, this gets going with ease. A fresh, fruity palate is just rugged enough, while flavors of black plum, cherry, licorice and herbs finish toasty, spicy and firm.",15.0,89,0,0.9967532089723447
400,Pillitteri 2012 Reserve Icewine Vidal (Niagara-On-The-Lake),"An aromatic knockout with notes of peach, papaya, lychee and brown sugar. At 250 g/L of residual sugar, it's dense and rich with carmelized sugar flavors and a lengthy finish.",30.0,92,0,0.9967532089723447
452,Cono Sur 2012 20 Barrels Limited Edition Peralillo Estate Merlot (Colchagua Valley),"Baked blueberry and boysenberry aromas are more ripe than delicate. This Merlot is saturated and deeply tannic. Flavors of coffee, chocolate and lemon peel precede a toasty finish that overflows with chocolaty oak and lingering tannins. Drink through 2023.",35.0,91,0,0.9967532089723447
537,Monte Xanic 2012 Viña Kristel Sauvignon Blanc (Valle de Guadalupe),"Sauvignon Blanc is, in general, one of Baja's more consistent performers. This version is light in color, with varietally familiar aromas of nettle, grapefruit and passion fruit. It's a bit weighty, with apple, grapefruit and tropical flavors. A mild bitterness can be found on the finish.",15.0,87,0,0.9967532089723447
543,Quinta do Portal 2012 Verdelho and Sauvignon Blanc White (Douro),"Verdelho and Sauvignon Blanc hangs together easily on this herb-dominant wine. The texture has a creamy character, showing green fruits, lively acidity and a bright orange-zest aftertaste.",15.0,87,0,0.9967532089723447
548,Solar de Pinheiro 2012 Paço de São Lourenço White (Vinho Verde),"With its light prickle on the tongue, this is as fresh as possible. It's clean, packed with green and citrus fruits, and boosted with some textured richness. Drink at once.",12.0,87,0,0.9967532089723447
561,Kangarilla Road 2012 Alluvial Fans Shiraz (McLaren Vale),"This plush, full-bodied wine is already delicious, delivering wave after wave of savory fruit flavor, something like soy-marinated, char-grilled beef. Tannins are supple enough to make this wine drinkable now, yet plentiful enough to suggest ample cellaring potential. Drink now-2030.",35.0,92,0,0.9967532089723447
600,Rafael Cambra 2012 Soplo Garnacha Tintorera (Valencia),"Perfumed plum and raspberry aromas are slightly earthy and leathery. This is medium-to-full in body, with smooth, chunky tannins. Earthy, lightly baked plum and wild-berry flavors finish loamy and expansive. Drink through 2017.",15.0,90,0,0.9967532089723447
631,Kanonkop 2012 Estate Wine Pinotage (Simonsberg-Stellenbosch),"This classic, iconic Pinotage opens with dense aromas of pressed purple violets, forest berries, raspberry sauce and fudge brownie. The lush and decadent palate offers more of the same, with a crushed velvet texture and final notes of licorice and toasted spice that linger long. It's delicious now, but should hold well through 2022.",40.0,91,0,0.9967532089723447
632,El Enemigo 2012 Bonarda (Mendoza),"Intriguing aromas of lavender, hoja santa and green tobacco blend nicely with blackberry and blueberry scents. This top-flight Bonarda feels lush and only moderately tannic. Blackberry, leather and mild briny flavors finish minty and lightly herbal. Drink now.",30.0,91,0,0.9967532089723447
712,San Pedro de Yacochuya 2012 Red (Salta),"This is a highly particular, funky blend of 85% Malbec and 15% Cabernet. It opens with savory stewy earthy aromas of berry fruits and prune. Due to the 15.5% abv, this feels heavy and clampy, with rooty flavors of baked berry fruits, cola, minty herbs and carob. An oaky spicy toasty finish with heat is the closing act on this fully stuffed Salta blend.",25.0,90,0,0.9967532089723447
713,Sobredos 2012 Aneto Tinto Red (Douro),"A ripe and structured wine, this has bold black fruits and balanced tannins that still need to soften. It has good potential with rich fruits and a tight mineral texture. Drink from 2018.",12.0,90,0,0.9967532089723447
742,La Playa 2012 Block Selection Reserve Block N. 10 Merlot (Colchagua Valley),"Earthy, lightly stewed aromas of plum and berry set up a lively but pinched and narrow palate with candied flavors of mixed red berry fruits. Additional red-fruit friendliness rolls onto the finish of this pleasant but basic Merlot.",12.0,86,0,0.9967532089723447
751,Terrapura 2012 Merlot (Curicó Valley),"Leathery, briny plum aromas are full and herbal. This feels solid and medium in size and body. Flavors of earthy, roasted berry and plum finish lightly green and herbal, with a touch of sweetness.",11.0,86,0,0.9967532089723447
825,Graffigna 2012 Grand Reserve Malbec (San Juan),"Smashed berry aromas are backed by earth and toasty oak notes. Fairly hard and tannic on the palate, this shows herbal plum flavors in front of a bold finish with dry tannins and a hint of wood spice.",20.0,87,0,0.9967532089723447
921,Terrazas de Los Andes 2012 Reserva Malbec (Mendoza),"Warm, earthy, jammy berry aromas are oaky and bring a note of latex into the fold. This chunky Malbec is tannic and grabby, with oaky flavors of black plum and vanilla set against herbal undertones. Spice, chocolate, carob and drawing tannins create a bold but rough finish.",20.0,88,0,0.9967532089723447
928,Gaba do Xil 2012 Mencía (Valdeorras),"This lighter-bodied Mencía from Valdeorras shows exotic, minerally aromas of raspberry, blueberry and Middle Eastern spices. The palate runs crisp and fresh, but not real deep or intense. Flavors of raspberry, plum and schist finish dry and floral, with a touch of lasting oak.",19.0,88,0,0.9967532089723447
938,Mills Reef 2012 Gimblett Gravels Reserve Merlot-Malbec (Hawke's Bay),"This lacks a bit of midpalate richness, but otherwise offers fine drinking. Clove, cinnamon and leather complexities keep the cherry flavors interesting, while the finish is clean and crisp. Drink now.",20.0,87,0,0.9967532089723447
940,Sur de los Andes 2012 Clásico Malbec (Mendoza),"Dark in color and forcefully oaked on the nose, this resiny Malbec will appeal to fans of richly styled reds. Plum, berry, tomato leaf and herbal flavors finish woody but fair, with lasting acidity.",15.0,87,0,0.9967532089723447
991,Santa Alicia 2012 Millantu Red (Maipo Valley),"Earthy red-fruit aromas come with hints of olive, herbs and spice. The mouthfeel on this blend of Cabernet Sauvignon, Cab Franc and Carmenère is racy and layered. Flavors of herbal berry and spice finish long. Drink through 2018.",25.0,90,0,0.9967532089723447
1068,Casa Agricola Santos Jorge 2012 Herdade dos Machados Reserva Red (Alentejo),"A rich full wine that has swathes of black fruits. It has a dry core around which there are generous fruits and the right amount of acidity. Perfumed, ripe and concentrated, this is ready to drink now.",19.0,88,0,0.9967532089723447
1166,Gustav Adolf Schmitt 2012 Niersteiner Auflangen Spätlese Riesling (Rheinhessen),"Layers of rich white peach and pink grapefruit sweeten this delightfully piercing spätlase. It's dainty in mouthfeel, but sumptuously ripe, balanced by a bracing strike of acidity.",13.0,89,0,0.9967532089723447
1269,Casa da Passarella 2012 Somontes Colheita Red (Dão),"This is a fruity, juicy wine that has a dry tanninc core. That gives a mineral texture to the otherwise ripe and fruity wine. Full of black currant fruit flavors, shot through with acidity, the wine is ready to drink.",11.0,88,0,0.9967532089723447
1301,Domäne Wachau 2012 Achleiten Smaragd Grüner Veltliner (Wachau),"A hint of mossy undergrowth leads on the nose, while lovely notes of white-pepper dusted green and yellow pear unfold on the soft, rounded palate. Those looking for texture as well as flavor will not be disappointed. Those who have the patience to cellar this will be rewarded with complex, mature flavors and great concentration. Drink 2016–2020.",46.0,92,0,0.9967532089723447
1327,Mouchão 2012 Ponte das Canas Red (Alentejo),"From the historic Herdade do Mouchão in northern Alentejo, this is a powerful wine, full of dense tannins and impressively ripe, juicy black fruits. Syrah and Alicante Bouschet bring southern richness to Touriga Franca and Touriga Nacional. Drink this wine now.",20.0,93,0,0.9967532089723447
1611,Doña Isadora 2012 Carmenère (Central Valley),"Herbal berry aromas include a heavy dose of spent coffee grinds and oak. This has an edgy, hard mouthfeel and oaky flavors of plastic and vanilla that sit on top of herbal berry notes. A creamy finish maintains the wine's oaky theme.",13.0,84,0,0.9967532089723447
1656,Bocopa 2012 Alcanta Crianza Red (Alicante),"Oaky, jammy aromas are wayward and slightly green. This blend of Tempranillo and Monastrell delivers heavy tannins on a widespread but unfocused palate. Oaky, drying berry flavors are more bitter than fruity, while the finish is choppy in feel and woody in taste.",16.0,84,0,0.9967532089723447
1673,Eresma 2012 Fermentado en Barrica Verdejo (Rueda),"Gold in color, with a nutty, flabby nose. In the mouth, this is honeyed and mealy, while flavors of creamy oak, green herbs and stone fruits finish bland and soft.",30.0,83,0,0.9967532089723447
1675,Maximo 2012 Edicion Limitada Garnacha (Vino de la Tierra de Castilla),"Grassy, stalky plum aromas are decent but not overly fresh. Without a lot of shape or body, this modest Garnacha is herbaceous and limited in red-fruit flavors. The finish is gone in a flash.",9.0,83,0,0.9967532089723447
1681,Alto Cinco 2012 Paniza Garnacha (Cariñena),"Prune and raisin aromas announce ripeness, which comes with woodsy, earthy, murky berry scents. This feels snappy at first, then more heavy and baked. Prune and spice cake flavors are clumsy, heavy and lack cohesion on the finish.",15.0,83,0,0.9967532089723447
1738,Errazuriz 2012 Max Reserva Sauvignon Blanc (Aconcagua Valley),"Hay, straw, match stick and minerally aromas outweigh this wine's fruit scents by a measurable margin. This is chunky and a bit soft in the mouth, a reflection of 2012's heat. And while it's round as a ball, it's slightly vegetal and bitter tasting on the palate, with grapefruit and bell pepper flavors.",19.0,87,0,0.9967532089723447
1743,Domäne Wachau 2012 Terrassen Gelber Muskateller (Wachau),"Grape and spice aromas give this wine a distinctive heady perfume. A rare style to find in the Wachau, it brings a fine balance between fruit and perfume with the textured nature of Wachau wines. Ready to drink, or age for a year. Screwcap.",17.0,87,0,0.9967532089723447
1762,Domäne Wachau 2012 Terrassen Federspiel Grüner Veltliner (Wachau),"Fruity wine, light, elegant with a touch of minerality, it shows a fine balance of green fruits and its spice. The wine is all about freshness, crispness, a touch of minerality to give texture. At the end, the fragrant acidity shines. Screwcap.",14.0,87,0,0.9967532089723447
1808,Marionette 2012 Monastrell-Syrah (Jumilla),"Gritty aromas of stewed berry, lemony oak, green herbs and tin set up a tannic, chewy, highly extracted palate that's lacking in elegance. Flavors of chocolate, green herbs, blueberry, vanilla and plastic finish oaky and creamy, with lasting heat.",13.0,85,0,0.9967532089723447
1821,Mureda 2012 Oak Aged Syrah (Vino de la Tierra de Castilla),"Dusty aromas of red cherry are muddled by oaky notes of plastic and latex. A jumpy, bright palate is rudimentary, as are lightly spiced plum and raspberry flavors. A fresh, dry, basic finish seems appropriate.",10.0,84,0,0.9967532089723447
1960,Kintonis 2012 Agiorgitiko (Nemea),"Thyme and crushed herbs on the nose of this red lead into flavors of sweet spice, smoked meat and boysenberry. The wine has an exotic spin and a balanced overall character. Elegant and distinctive.",15.0,90,0,0.9967532089723447
2009,Las Casas de Vacquería 2012 Sucesor Red (Maule Valley),"Herbal, spicy tomato and red-berry aromas come with oak-based coffee notes. This feels full, saucy, fresh and largely complete. The blend is Carignan, Cabernet Sauvignon and Cabernet Franc, with the wine's aromas translating to flavors of stalky berry and coffee. Spice notes and dry tannins push the finish. Drink through 2019.",20.0,88,0,0.9967532089723447
2059,Wines & Winemakers 2012 Azul Portugal Escolha White (Vinho Verde),"Crisp. dry and fruity, this wine has a light touch of citrus and fresh acidity. Fruity with a slight sparkle, it's an ideal apéritif.",11.0,85,0,0.9967532089723447
