,title,description,price,points,cluster_label,cosine_similarity
42619,Pasini San Giovanni 2015 Il Lugana  (Lugana),"Delicate aromas of white stone fruit, ripe pear and white flower lead the nose while the bright palate offers crisp green apple, juicy white peach and a hint of bitter almond. Fresh acidity lifts the finish.",20.0,89,1,0.49111622020509
59298,Indaba 2014 Chenin Blanc (Western Cape),"This is a fresh and bright white wine, with scents of lemon-lime, green plum and green apple that jump from the glass. The palate is easy and refreshing, as lively acidity lifts the fruity flavors of firm pear and citrus. Drink now.",12.0,87,1,0.4793195237595772
3528,La Vis 2014 Ritratti Pinot Grigio (Trentino),"Fresh and fruity, this lively white offers aromas and flavors of green Anjou pear, Granny Smith apple and white peach. Zesty acidity gives it a crisp, tangy finish.",19.0,87,1,0.4686883746204165
53551,La Vis 2014 Ritratti Pinot Grigio (Trentino),"Fresh and fruity, this lively white offers aromas and flavors of green Anjou pear, Granny Smith apple and white peach. Zesty acidity gives it a crisp, tangy finish.",19.0,87,1,0.4686883746204165
74735,La Tunella 2013 Rjgialla Ribolla Gialla (Colli Orientali del Friuli),"This linear wine opens with aromas that recall stone fruit, apple and pineapple. The bright palate delivers white peach, grapefruit, citrus and mineral notes alongside fresh acidity. It has a crisp, clean finish.",22.0,88,1,0.46830936140817925
66578,Masut da Rive 2013 Chardonnay (Isonzo del Friuli),This crisp white opens with a delicate floral fragrance of white spring flower and touch of stone fruit. The refreshing palate offers crunchy yellow apple and tangy lemon zest balanced by bright acidity. It finishes clean and fresh.,22.0,87,1,0.46601030566396323
87362,V. Sattui 2008 Vittorio's Vineyard Sauvignon Blanc (Napa Valley),"This lovely Sauvignon Blanc is a little sweet in honey. But the acidity is crisp, and there's a fine mineral undertow to the fresh peach, citrus and green apple flavors, so the finish feels dry and clean.",22.0,88,1,0.46370192974041213
1852,Cantina del Castello 2013 Castello  (Soave Classico),"Floral aromas of white spring flowers partner hints of pear and stone fruit. The juicy palate offers white peach, apple and green melon alongside a mineral note and fresh acidity.",15.0,87,1,0.46010558460363893
38709,Principe Pallavicini 2014 Poggio Verde  (Frascati Superiore),"This lively white features aromas of tropical fruit, citrus and white flower.s The bright, round palate doles out fresh peach, juicy pineapple and crisp apple alongside zesty acidity.",17.0,87,1,0.4579573193240884
8750,Balestri Valda 2015  Soave Classico,"Aromas of ripe green apple, pear, Spanish broom and tangerine lead to a creamy palate of yellow stone fruit and a hint of white almond. Fresh acidity and a mineral note brighten the finish.",16.0,89,1,0.45780314234853037
39402,Tenuta Roveglia 2012 Limne  (Lugana),"Juicy flavors of white peach, green apple, pear and exotic fruit team with hints of mineral and white almond. The creamy palate is energized by crisp, quenching acidity that leaves a clean finish.",19.0,90,1,0.45440503536553645
96224,Merotto 2014 Colbello Extra Dry  (Valdobbiadene Prosecco Superiore),"Delicate aromas of spring flowers and white stone fruit lead the nose. The palate offers crisp green apple, yellow pear and creamy white peach alongside refreshing acidity and a foaming mousse.",26.0,88,1,0.4543564346458243
24394,Ottella 2013  Lugana,"A supple, medium-bodied white, it conveys aromas of stone fruit, pine apple and banana. The juicy, round palate offers sweet peach, green apple, zesty citrus and a mineral note alongside crisp acidity.",19.0,89,1,0.4515357493152456
88745,Abbazia di Novacella 2012 Praepositus Veltliner (Alto Adige Valle Isarco),"Deep, golden yellow, this elegant but structured white offers aromas of fragrant white flower, alpine herb, mature pear and exotic fruit. The vibrant, spicy palate doles out crisp green apple, white peach, nectarine, lemon zest, white pepper and a ginger note. It's balanced and fresh, with bright acidity and a long, mineral finish.",40.0,92,1,0.4498330725202406
72971,Andreola 2016 Dry  (Valdobbiadene Prosecco Superiore),"This opens with delicate scents of field flower and white stone fruit. On the creamy off-dry palate, a soft mousse backs up sweet white peach, green apple and a candied citrus note while bright acidity lends freshness.",22.0,88,1,0.44875429290739816
101931,Tenuta Cà Bolani 2013 Superiore Pinot Grigio (Friuli Aquileia),"Aromas of tropical fruit, pear and honeysuckle jump out of the glass. The straightforward palate delivers tart green apple, white peach and a touch of citrus alongside bright acidity.",17.0,87,1,0.4481209455516787
77338,Olivini 2013 Demesse Vecchie  (Lugana),"Aromas of white flower, beeswax, pear and a hint of vanilla lead the nose. The medium-bodied palate offers crisp yellow apple, citrus zest and a mineral note alongside tangy acidity.",23.0,89,1,0.4471645664807691
37771,Corte Giara 2016  Soave,"Here's a lively, informal white redolent of green apple, peach and citrus, with vibrant acidity. It's simple but well made, with a crisp, refreshing finish.",15.0,86,1,0.4456819675572532
45209,Le Vigne di Eli 2013 Bianco  (Etna),"Delicate aromas of lemon blossom, pear, Spanish broom and brimstone lead the nose on this vibrant white. The bright palate offers citrus, apple and mineral along with a touch of light oak that adds depth, while crisp acidity imparts energy.",25.0,89,1,0.4455160425909988
82691,Le Vigne di Eli 2013 Bianco  (Etna),"Delicate aromas of lemon blossom, pear, Spanish broom and brimstone lead the nose on this vibrant white. The bright palate offers citrus, apple and mineral along with a touch of light oak that adds depth, while crisp acidity imparts energy.",25.0,89,1,0.4455160425909988
115498,Tenuta Sant'Antonio 2016 Fontana  (Soave),"This opens with faint honeysuckle and white stone fruit aromas. The informal, lively palate offers green apple, peach and citrus hints, alongside bright acidity.",12.0,85,1,0.44357585233364594
16456,Collavini 2013 Turian Ribolla Gialla (Colli Orientali del Friuli),"Floral and fruit fragrances suggest lemon blossom, stone fruit and citrus. The fresh palate offers juicy peach, creamy apple and lemon zest accompanied by firm acidity. It closes fresh and clean.",24.0,88,1,0.44295267123821275
60595,Collavini 2013 Turian Ribolla Gialla (Colli Orientali del Friuli),"Floral and fruit fragrances suggest lemon blossom, stone fruit and citrus. The fresh palate offers juicy peach, creamy apple and lemon zest accompanied by firm acidity. It closes fresh and clean.",24.0,88,1,0.44295267123821275
47618,Cusumano 2013 Insolia (Terre Siciliane),"This bright wine opens with aromas of white flowers and citrus. The palate offers juicy lemon-lime and white almond alongside crisp acidity that gives it a clean, fresh finish.",12.0,86,1,0.4420815763744793
42628,Ceretto 2015 Blangè Arneis (Langhe),"Bright and refreshing, this opens with scents of honeysuckle, jasmine, pear and yellow stone fruit. The round but lively palate offers peach, green apple and a hint of white almond. Fresh acidity lifts the rich flavors.",25.0,89,1,0.44094806798985
10493,Zuani 2011 Vigne White (Collio),"This blend of Chardonnay, Sauvignon and Pinot Grigio opens with intense aromas of lemon blossom, pear, apple and flint. The linear palate delivers succulent white peach, green apple and lemon-lime alongside bright acidity.",24.0,90,1,0.44005890013235105
60857,Holdvölgy 2013 Vision  (Tokaji),"A blend of 65% Furmint, 25% Hárslevelu and 10% Kabar, this Hungarian white has aromas of white peach and fresh apricot juice. There are flavors of yellow peach, green apple and crisp clean minerality in the mouth.",24.0,88,1,0.4396343039961432
78694,Holdvölgy 2013 Vision  (Tokaji),"A blend of 65% Furmint, 25% Hárslevelu and 10% Kabar, this Hungarian white has aromas of white peach and fresh apricot juice. There are flavors of yellow peach, green apple and crisp clean minerality in the mouth.",24.0,88,1,0.4396343039961432
66587,Tenuta Luisa 2013 Pinot Grigio (Friuli Isonzo),"Made in a crisp, zesty style, this vibrant white delivers tart green apple, Bartlett pear and lemon zest. Bright acidity gives it a clean finish.",23.0,87,1,0.4394093288631421
20599,Peter Mertes 2011 Bernkasteler-Kues Kabinett Feinherb Gold Edition Riesling (Mosel),"Brisk and nervous on the palate, with searing lemon-lime acidity, this slightly off-dry wine is well-balanced, with delicate apple and blossom flavors. It's long and mineral on the finish, with just a touch of sweet white peach.",17.0,88,1,0.4388001316778638
