,title,description,price,points,cluster_label,cosine_similarity
7692,Cono Sur 2013 20 Barrels Cabernet Sauvignon (Maipo Valley),"Dense, baked and mulled blackberry and cassis aromas include bold but classy oak notes. This feels seamless except for raring tough tannins, while flavors of toast, graphite and spiced blackberry finish smooth and chewy, with a sense of lushness despite lasting residual tannins. Drink through 2025.",35.0,93,8,0.9994698635153196
7908,Marques de Griñon 2013 Single Vineyard Estate Bottled Cabernet Sauvignon (Dominio de Valdepusa),"Highly concentrated black-fruit aromas of plum and currant are made more interesting by cola and forest-floor notes. This is a dense, chewy and almost fat Cabernet Sauvignon. Baked berry, fig and savory grilled-meat flavors are massive, backed up by a lush, deep finish. Drink 2018–2025.",40.0,93,8,0.9994698635153196
8591,Ventisquero 2013 Enclave Cabernet Sauvignon (Maipo Valley),"Enclave is Ventisquero Winemaker Felipe Tosso's collaboration with John Duval from Australia. The result is a smoky, oaky Cabernet, with subtle black cherry and cassis aromas that turn more earthy with air. A layered and structured palate is home to flavors of tobacco, chocolate, berry fruits and cassis. On the finish, oak remains out front. Drink through 2022.",70.0,93,8,0.9994698635153196
9649,Bacalhôa Wines of Portugal 2008 Quinta da Bacalhôa Cabernet Sauvignon (Península de Setúbal),"This Cabernet-based wine is supremely elegant. It brings together new wood flavors, firm and dry Cabernet tannins and powerful concentration. It has great depth of flavor; very complex, the acidity promising good aging.",30.0,93,8,0.9994698635153196
10969,Penfolds 1998 Bin 707 Cabernet Sauvignon (South Australia),"The rich blackberry, vanilla and toast nose sets you up for a lush, supple wine and this one does not disappoint. Full and dense, it offers rich black-cherry and cassis flavors on the palate, and a huge finish with fine-grained tannins. Very well poised for its size, it's approachable now. Nevertheless, it will be much more nuanced and show more finesse in 5–8 years. Keep for a decade or two, maybe more. To be released 5/01.",90.0,93,8,0.9994698635153196
10970,Simonsig 1998 Cabernet Sauvignon (Stellenbosch),"This big boy greets us with his deep ruby/black cloak. Loaded with cassis from start to finish, there is tremendous fruit depth here and a full, supple mouthfeel. Reminiscent of one of the successful large-scale ‘97 California Cabernets. Has tannins to resolve, best held for a year or two.",15.0,93,8,0.9994698635153196
1378,Concha y Toro 2009 Terrunyo Vineyard Selection Block Las Terrazas Unfiltered Cabernet Sauvignon (Maipo Valley),"The nose is an attractive mix of cassis and mineral notes. The palate is more racy and wiry than dense and soft, with juicy, flashy flavors of berry, cherry and currant. Those notes all carry through to the long finish; drink from 2013–2018.",38.0,92,8,0.9994698635153196
3190,Vasse Felix 2009 Cabernet Sauvignon (Margaret River),"Vasse Felix's impressively consistent track record with Cabernet continues with the 2009, a mouth-filling, supple wine that still retains a modicum of structure. Bold cassis fruit is balanced by earthy, meaty complexity and finishes long and mouthwatering. Drinkable now, but it should hold easily through 2020, and possibly longer.",38.0,92,8,0.9994698635153196
3192,D'Arenberg 2009 The Coppermine Road Cabernet Sauvignon (McLaren Vale),"D'Arenberg's The Coppermine Road is always structured—sometimes to excess—but the 2009 vintage seems to have the requisite flesh to age successfully. Cedar, chocolate and cassis notes surround a firm core of dusty tannins. Drink from 2015–2025, and possibly beyond.",65.0,92,8,0.9994698635153196
3483,Domus Aurea 2008 Cabernet Sauvignon (Maipo Valley),"Hails from Macul, so it exhibits some normal eucalyptus on the nose along with spice and pointed, slightly piercing berry aromas. The palate is chewy, sweet, modern and ripe, with chunky berry, herb, olive and particularly graphite flavors. Settles on big black fruit and depth. Outstanding Chilean Cabernet with individuality. Best from 2013-2016.",60.0,92,8,0.9994698635153196
4618,Concha y Toro 2013 Don Melchor Puente Alto Vineyard Cabernet Sauvignon (Puente Alto),"Initially this smells foxy, with jumpy untamed berry and plum notes racing across the nose. After the aromas come around, this is hard and choppy on the palate, while herbal black-plum and carob flavors finish more lushly than before, but still fairly tannic. Drink through 2023.",120.0,92,8,0.9994698635153196
4627,Koyle 2013 Royale Los Lingues Vineyard Cabernet Sauvignon (Colchagua Valley),"Spicy aromas of balsam wood, tobacco and sawmill work well with ripe but reserved red-berry scents. Tight, tannic but also fresh as opposed to drying, this Cabernet from a cool year delivers a classic set of herbal berry, plum and wood spice flavors. A ripped finish is dry and oaky now, with core fruit resting for the future. Drink 2018–2028.",26.0,92,8,0.9994698635153196
4709,Madmon 2012 Soreka Special Reserve Cabernet Sauvignon (Shomron),"An intense bouquet of blackberry, smoked meat, flint and violet paves the way for flavors of black currant, smoked meat, coffee bean and a hint of cranberry. Rich savory notes mingle with strong fruit flavors, all marked by a pleasingly persistent strain of tartness. Smooth, soft tannins prime the palate for the elegant finish.",30.0,92,8,0.9994698635153196
5186,Errazuriz 2013 Max Reserva Cabernet Sauvignon (Aconcagua Valley),"This is a powerful Cabernet comprised of all the key players. The nose is oaky, with coconut and vanilla aromas alongside fast and furious spiced berry scents. A meter-pushing palate tastes of spiced cherry, blackberry, herbs and chocolate, while the finish simmers with coffee and mocha notes. Drink through 2020.",20.0,92,8,0.9994698635153196
5507,Psagot 2012 Cabernet Sauvignon (Judean Hills),"This wine has a bouquet of raspberry, bell pepper, ground black pepper and a whiff of petrol. It fills the entire mouth with flavors of raspberry, cherry, rose petal, caramel, and flint. Offering a touch of salinity, to appeals to the entire palate, peaking with a grippy finish marked by smoke-tinged fruit flavors.",30.0,92,8,0.9994698635153196
8348,Marques de Griñon 2010 Single Vineyard Estate Bottled Cabernet Sauvignon (Dominio de Valdepusa),"Powerful blackberry, prune, juniper, cola and fern aromas are demanding but appealing for Spanish Cabernet. This feels tannic, full and generous, with flavors of spicy, lightly green berry fruits. A foresty note accents an elegant yet strong finish. Drink through 2022.",40.0,92,8,0.9994698635153196
115,Le Riche 2003 Cabernet Sauvignon Reserve Cabernet Sauvignon (Stellenbosch),"Etienne Le Riche is a total Cabernet specialist. With a tiny production of 5,000 cases across all his wines, this is boutique in the best sense. The Reserve Cabernets are, of course, the stars. This 2003 is fruit and wood driven, a powerful but still elegant wine, with black plums, tannins and super-ripe fruits.",45.0,91,8,0.9994698635153196
122,Delheim 2001 Grand Reserve Cabernet Sauvignon (Simonsberg-Stellenbosch),"A Cabernet-dominated (98%) wine, which boasts a dense, concentrated tannic structure. Flavors of cassis underly this, while the wood spices contribute their ribbon of flavor. This is an impressive wine, the flagship red from this estate founded by Spatz Sperling over 30 years ago.",30.0,91,8,0.9994698635153196
152,Cono Sur 2012 20 Barrels Cabernet Sauvignon (Maipo Valley),"Dry, briary aromas of field brush, black olive, herbs, berry fruits and saucy tomato are textbook Maipo. This is fresh, a touch choppy, and not overly heavy. Flavors of cassis, plum and vanilla carry over to the finish, which is fresh and bolstered by fine natural acidity. Drink through 2022.",32.0,91,8,0.9994698635153196
