,title,description,price,points,cluster_label,cosine_similarity
153,Domaine Berthoumieu 2013 Charles de Batz Tannat-Cabernet (Madiran),"Of course, this 90% Tannat wine is still very young. But it's impressive, rich and concentrated and promises to age well. It is dense with both tannins and fruit, black plum and berry flavors dominating, cut by acidity. It will be ready to drink from 2019.",25.0,91,5,0.9977465607915165
195,Famille Perrin 2013 Les Christins Red (Vacqueyras),"This is taut and sinewy in profile, but shows off a fine range of aromas, from thyme and lavender to cocoa, red plum and ripe cherry. The raspberry and herb flavors finish in a storm of firm tannins. Drink 2020–2025.",32.0,90,5,0.9977465607915165
565,Jean-Marc Bernhard 2013 Wineck-Schlossberg Grand Cru Riesling (Alsace),"Ripe fragrant, yellow mirabelle plums constitute the chief perfume of this charming wine. The palate holds even more fruity nuance but is dry, concentrated and linear, being carried forward by zesty freshness and lemony overtones. This is clean, charming, taut and dry with a bracing nature and a clean, brisk finish.",34.0,92,5,0.9977465607915165
633,Château d'Esclans 2013 Les Clans Rosé (Côtes de Provence),"Always released after a further year's aging, this rich and full-bodied wine is now at its peak. With a dense texture, layers of spice and vanilla as well as intense red fruits, this powerful wine expresses the more complex side of Provence rosé. Drink now.",65.0,91,5,0.9977465607915165
743,Les Vins Aujoux 2013 Belle Grâce  (Beaujolais-Villages),"The wine is warm and round, full of ripe berry fruits and soft tannins. It's ready to drink now with its full structure, balanced acidity and juicy aftertaste.",15.0,86,5,0.9977465607915165
744,Mont Gravet 2013 Colombard (Côtes de Gascogne),"Soft, ripe and fruity, this is an immediately accessible, drinkable wine. It's soft with lemon and yellow fruits coming together to give a fresh, lively apéritif style of wine.",9.0,86,5,0.9977465607915165
752,Clos Troteligotte 2013 K-libre Chenin Blanc (Côtes du Lot),"Chenin Blanc has found an unlikely new home in Cahors, to judge by the producers who are trying it out. It works well, giving a deliciously nutty character as well as intense citrus and minerality. Age this wine until 2015.",30.0,86,5,0.9977465607915165
755,Domaine du Haut-Poncié 2013 Roche Grès  (Moulin-à-Vent),Some wood aging gives the fruitiness of the wine an added spice. Tannins support the bitter cherry flavors and add firmness to the juicy acidity. Drink from the end of 2015.,23.0,86,5,0.9977465607915165
758,Georges Duboeuf 2013 Flower Label  (Beaujolais),"Attractive cherry flavors give a ripe, rounded feel that's balanced by the acidity and tannins. Black cherries burst easily from the glass, delivering a full aftertaste.",12.0,86,5,0.9977465607915165
762,Manoir du Carra 2013  Beaujolais-Villages,"While the wine has a crisp side, it's also full of red fruits and soft tannins. That makes for a wine that's fragrant, fruity, ready to drink and not likely to age much. Enjoy it now.",16.0,86,5,0.9977465607915165
822,Frédéric Brouca 2013 Samsó Seulle Cinsault (Vin de France),"Juicy dark plum, cherry and boysenberry are upfront on the nose, with additional seductive hints of purple violet and vanilla. The palate is plush and fruit-forward, with ample acidity and medium tannins that lend pleasant structure. Accents of sweet spice grace the finish.",23.0,87,5,0.9977465607915165
918,Ruhlmann 2013 Vieilles Vignes Gewurztraminer (Alsace),"This wine is still young, showing spice and not yet enough fruit. It has the right weight and potential richness as well as concentration from the old vines. Drink this ageworthy wine from 2016.",20.0,88,5,0.9977465607915165
1019,Château du Retout 2013  Haut-Médoc,"Based in the heart of the Haut-Médoc, this property has produced a wine that shows a dry character, with bitter extraction and too much wood. There are just hints of juicy fruit that will need time to come through. It could well stay dry and firm always.",20.0,84,5,0.9977465607915165
1020,Château la Gravette Lacombe 2013  Médoc,The producer has probably used too much wood for the fruit and density of this wine. The toastiness does not allow any fruit to show through.,18.0,84,5,0.9977465607915165
