,title,description,price,points,cluster_label,cosine_similarity
74118,Continuum 2007 Red (Napa Valley),"Feels fancy and important in the mouth, with pure, refined tannins housing ripe, complex flavors of blackberries, black currants, cherries, chocolate, exotic spices and sweet, smoky oak. The finish is dry but with a tinge of sweetness, like an infused blackberry liqueur, which probably is the result of high (15.3%) alcohol. Very rich and layered, and a great addition to the Napa cult pantheon. Cabernet, with Cab Franc and Petit Verdot.",140.0,97,1,0.35485054601442445
45461,Harlan Estate 2005 The Maiden Red (Napa Valley),"Massive, decadent. Opens with extraordinary aromas of cedar, black currants, cherries, chocolate, sage, pepper and anise, with hints of roasted game. Feels very round, smooth but powerful. Almost sweet in red and black currants and chocolate. So refined, absolutely delicious. Beautiful, lush, complex, soft. Should age.",150.0,97,1,0.3374103921219981
115017,Trefethen 2005 Estate Cabernet Sauvignon (Oak Knoll District),"A monumental Cabernet that succeeds on every level. It's deep, dark and ultrarich, showing massive blackberries, black currants, dark chocolate, violets, minerals and a touch of sweet, smoky oak. Beyond the flavors is the dramatic structure, with fabulously ripe, dense tannins and a bone-dry, long finish. Surely a tremendous wine capable of long-term aging. Try 2012–2018, at least.",50.0,97,1,0.325072404320271
1421,Tenuta dell'Ornellaia 2008 Ornellaia  (Bolgheri Superiore),"The 2008 Ornellaia delivers concentrated aromas of forest fruit, raspberry and black cherry. There are beautiful elements of soft spice and chocolate at the back and the wine ends with soft, plush tannins and smooth, berry-rich flavors.",215.0,97,1,0.31179268007331784
109829,Stag's Leap Wine Cellars 2008 Cask 23 Estate Cabernet Sauvignon (Napa Valley),"One sip is all it takes to fall in love with this 100% Cabernet, which hails from the winery's Stags Leap District vineyards. It's soft, lush and opulent in blackberry, cherry, blueberry, cassis, dark chocolate and smoky oak flavors. Although it was aged in 100% new French oak, the oak isn't at all heavy. Rather, it's perfect, adding just the right touch of smoke. Really fabulous, and the tannins define Stags Leap, so strong yet sweetly refined. If you can keep your hands off it, this is a wine to cellar for many years.",195.0,97,1,0.31148817737366724
50993,Mauro 2011 VS Tempranillo (Vino de la Tierra de Castilla y León),"Lusty aromas of black cherry and blackberry are powerful. Likewise, this Tempranillo from just outside the Ribera del Duero district tastes bullish, with blackberry, currant, mocha and rich oak flavors. Robust berry fruit along with spice and chocolate are the lead flavors on a strong, dense finish. This has the potential to age nicely for seven to 15 years. Drink through 2030.",100.0,96,1,0.4038857163807776
41072,ONX 2015 Reckoning Red (Templeton Gap District),"A booming but expertly balanced wine, this blend of 54% Syrah, 18% Petite Sirah, 18% Zinfandel and 10% Grenache shows aromas of black currant, black olive, black cherry, sweet woody spice and powdered hot cocoa. Elegant mocha and cappuccino notes thrive on the palate, which is brightened by penetrating acidity. It boasts perfectly polished tannins and ripe fig flavors, with a flash of dark chocolate on the finish.",58.0,96,1,0.3662918910869249
52219,Goldschmidt 2007 Plus Game Ranch Single Vineyard Selection Cabernet Sauvignon (Oakville),"A dramatic Cabernet, complex and layered, this shows deeply concentrated blackberry essence, black currant, dark chocolate and raisin flaors that are intricately woven with a sweet, smoky oak influence. The tannic structure is thick and furry, but just about perfect. Should age for many years, gradually losing primary fruit, but it's drinkable now after decanting.",150.0,96,1,0.34744259225159185
112735,Harlan Estate 1999 Red (Napa Valley),"An exceptional wine. Fragrant, with plenty of plum, black cherry, cedar and spice aromas. On the palate, it's silky smooth, elegant and fresh, yet packed with complex layers of blackberry, cassis, chocolate, coffee, anise, sage, thyme and cherry flavors. Marked by an exquisite textural elegance and harmonious balance, it displays a fine blend of firm, supple tannins and appropriate acidty that support great length on the finish.",200.0,96,1,0.34410556449660623
37393,Macauley 2007 Cabernet Sauvignon (Napa Valley),"A stunningly good Cabernet. Just dazzling in sheer delicious fruit, yet wonderfully structured. So smooth and velvety, flooding the mouth with layers of blackberries, black cherries, cassis, chocolate, mint, spice and toast. The tannins are thrilling, being firm and soft at the same time. The vineyard sourcing was Star, in Rutherford, and Stagecoach, on Atlas Peak, with a few drops from Beckstoffer To Kalon. Very great now, and should develop over the next 10 years.",72.0,96,1,0.3280762325638562
